Name,Selling Price,Original Price,Product Type
Blessing of the walking moon,58221,57195,moon
2x Blessing of the walking moon,116580,114390,moon
3x Blessing of the walking moon,175213,171585,moon
4x Blessing of the walking moon,232459,228780,moon
5x Blessing of the walking moon,290189,286708,moon
6x Blessing of the walking moon,352099,344050,moon
60,11528,11428,crystal
300 + 30,58342,57342,crystal
980 + 110,175919,172609,crystal
1980 + 260,380267,374326,crystal
3280 + 600,582298,576043,crystal
6480 + 1600,1177500,1152377,crystal
2x 6480 + 1600,2414600,2304754,crystal
3x 6480 + 1600,3621800,3457131,crystal
4x 6480 + 1600,4829100,4609508,crystal
